index,s_meters,lateral_m,delta_lateral_m,label,segmentIndex,world_x,world_y,world_z
69,137.533,0.367,0.556,Medium,5,-53.179,0.000,-9.066
70,139.533,0.253,0.114,Easy,5,-55.305,0.000,-9.277
71,141.533,0.737,0.485,Medium,5,-56.828,0.000,-9.488
72,143.533,0.130,0.607,Hard,5,-59.381,0.000,-9.692
73,145.533,0.298,0.168,Easy,5,-61.458,0.000,-9.921
74,147.517,0.614,0.316,Medium,6,-63.070,0.000,-10.007
75,149.517,0.451,0.163,Easy,6,-64.959,0.000,-9.440
76,151.517,-0.042,0.493,Medium,6,-67.394,0.000,-8.803
77,153.517,0.769,0.812,Hard,6,-68.523,0.000,-8.167
78,155.517,0.671,0.098,Easy,6,-70.447,0.000,-7.567
79,157.517,0.335,0.337,Medium,6,-72.709,0.000,-6.936
80,159.517,0.422,0.087,Easy,6,-74.544,0.000,-6.305
81,161.517,-0.177,0.599,Medium,6,-77.024,0.000,-5.688
82,163.517,0.614,0.791,Hard,6,-78.092,0.000,-5.078
83,165.517,0.589,0.024,Easy,6,-79.985,0.000,-4.465
84,167.517,0.015,0.574,Medium,6,-82.431,0.000,-3.775
85,169.516,0.013,0.002,Easy,7,-84.587,0.000,-4.175
86,171.516,-0.565,0.578,Medium,7,-87.236,0.000,-4.563
87,173.516,0.451,1.016,Hard,7,-87.962,0.000,-4.890
88,175.516,0.481,0.030,Easy,7,-89.960,0.000,-5.270
89,177.516,0.070,0.411,Medium,7,-92.435,0.000,-5.657
90,179.516,0.014,0.056,Easy,7,-94.363,0.000,-6.008
91,181.516,-0.252,0.266,Medium,7,-96.634,0.000,-6.384
92,183.516,0.615,0.867,Hard,7,-97.621,0.000,-6.732
93,185.516,0.622,0.007,Easy,7,-99.618,0.000,-7.108
94,187.516,0.170,0.452,Medium,7,-102.204,0.000,-7.508
95,189.516,0.127,0.043,Easy,7,-104.208,0.000,-7.875
96,191.516,0.427,0.300,Medium,7,-105.700,0.000,-8.211
97,193.516,-0.491,0.918,Hard,7,-108.651,0.000,-8.592
98,195.516,-0.571,0.080,Easy,7,-110.565,0.000,-8.983
99,197.213,-0.104,0.468,Medium,8,-111.864,0.000,-8.645
100,199.213,-0.354,0.250,Easy,8,-113.212,0.000,-6.950
101,201.213,-0.088,0.266,Medium,8,-114.098,0.000,-5.172
102,203.213,-0.700,0.613,Hard,8,-115.690,0.000,-3.662
103,205.213,-0.772,0.072,Easy,8,-116.838,0.000,-2.002
104,207.213,-0.329,0.443,Medium,8,-117.545,0.000,-0.227
105,209.213,-0.439,0.110,Easy,8,-118.748,0.000,1.568
106,211.187,-0.054,0.385,Medium,9,-118.454,0.000,3.389
107,213.187,0.658,0.712,Hard,9,-117.742,0.000,5.322
108,215.187,0.780,0.122,Easy,9,-117.620,0.000,7.566
109,217.187,0.240,0.540,Medium,9,-118.160,0.000,9.428
110,219.187,0.451,0.211,Easy,9,-117.949,0.000,11.324
111,221.187,0.061,0.390,Medium,9,-118.339,0.000,13.496
112,223.187,0.703,0.642,Hard,9,-117.697,0.000,15.371
113,225.187,0.518,0.185,Easy,9,-117.882,0.000,17.402
114,227.187,0.023,0.495,Medium,9,-118.377,0.000,19.383
115,229.187,-0.024,0.047,Easy,9,-118.424,0.000,21.278
116,231.187,0.428,0.453,Medium,9,-117.972,0.000,23.301
117,233.187,-0.211,0.640,Hard,9,-118.611,0.000,25.548
118,235.187,-0.172,0.040,Easy,10,-118.572,0.000,27.296
119,237.187,0.169,0.341,Medium,10,-118.231,0.000,29.313
120,239.187,0.329,0.160,Easy,10,-118.071,0.000,31.286
121,241.187,0.725,0.395,Medium,10,-117.676,0.000,33.518
122,243.187,-0.240,0.965,Hard,10,-118.640,0.000,35.317
123,245.187,-0.134,0.106,Easy,10,-118.534,0.000,37.321
124,247.187,-0.414,0.280,Medium,10,-118.814,0.000,39.356
125,249.187,-0.264,0.150,Easy,10,-118.664,0.000,41.568
126,251.187,-0.622,0.358,Medium,10,-119.022,0.000,43.413
127,253.187,-0.002,0.620,Hard,10,-118.402,0.000,45.518
128,255.187,-0.051,0.049,Easy,10,-118.451,0.000,47.283
129,257.187,0.325,0.375,Medium,10,-118.076,0.000,49.563
130,259.187,0.370,0.045,Easy,10,-118.030,0.000,51.504
131,261.187,-0.116,0.486,Medium,10,-118.516,0.000,53.365
132,263.187,0.673,0.789,Hard,10,-117.727,0.000,55.415
133,265.187,0.798,0.125,Easy,10,-117.602,0.000,57.316
134,267.187,0.205,0.592,Medium,10,-118.201,0.000,59.477
135,269.186,0.281,0.076,Easy,11,-118.363,0.000,61.446
136,271.186,-0.068,0.349,Medium,11,-118.951,0.000,63.345
137,273.186,0.602,0.670,Hard,11,-118.521,0.000,65.250
138,275.186,0.551,0.051,Easy,11,-118.840,0.000,67.391
139,277.186,0.031,0.520,Medium,11,-119.606,0.000,69.349
140,279.186,-0.167,0.198,Easy,11,-120.071,0.000,71.476
141,281.186,0.150,0.318,Medium,11,-119.983,0.000,73.305
142,283.186,-0.494,0.644,Hard,11,-120.878,0.000,75.303
143,285.186,-0.247,0.246,Easy,11,-120.885,0.000,77.319
144,287.186,0.299,0.546,Medium,11,-120.591,0.000,79.325
145,289.186,0.302,0.004,Easy,11,-120.833,0.000,81.277
146,291.186,0.687,0.385,Medium,11,-120.704,0.000,83.315
147,293.186,-0.110,0.797,Hard,11,-121.727,0.000,85.109
148,295.186,0.095,0.205,Easy,11,-121.769,0.000,87.085
149,297.186,0.382,0.287,Medium,11,-121.750,0.000,89.211
150,299.186,0.411,0.029,Easy,11,-121.971,0.000,91.210
151,301.186,0.124,0.287,Medium,11,-122.517,0.000,93.262
152,303.186,-0.679,0.803,Hard,11,-123.557,0.000,95.150
153,305.186,-0.592,0.087,Easy,11,-123.719,0.000,97.136
154,307.186,-0.247,0.345,Medium,11,-123.622,0.000,99.111
155,309.186,-0.122,0.125,Easy,11,-123.769,0.000,101.003
156,311.127,-0.569,0.447,Medium,12,-123.773,0.000,102.860
157,313.127,0.265,0.834,Hard,12,-122.043,0.000,104.953
158,315.127,0.174,0.092,Easy,12,-121.362,0.000,106.759
159,317.127,0.458,0.284,Medium,12,-120.318,0.000,108.536
160,319.127,0.316,0.141,Easy,12,-119.735,0.000,110.230
161,321.127,0.035,0.281,Medium,12,-119.168,0.000,112.212
162,323.127,0.763,0.727,Hard,12,-117.644,0.000,114.073
163,325.127,0.656,0.107,Easy,12,-117.031,0.000,115.756
164,327.127,0.197,0.459,Medium,12,-116.652,0.000,117.717
165,329.127,-0.002,0.199,Easy,12,-116.039,0.000,119.549
166,331.089,-0.563,0.561,Medium,13,-114.884,0.000,120.593
167,333.089,0.482,1.045,Hard,13,-112.024,0.000,121.559
168,335.089,0.260,0.221,Easy,13,-110.629,0.000,122.418
169,337.089,0.616,0.356,Medium,13,-108.587,0.000,123.315
170,339.089,0.490,0.127,Easy,13,-106.764,0.000,124.352
171,341.089,0.191,0.298,Medium,13,-105.438,0.000,125.216
172,343.089,-0.606,0.797,Hard,13,-104.439,0.000,126.172
173,345.089,-0.721,0.115,Easy,13,-102.778,0.000,127.125
174,347.072,-0.226,0.495,Medium,14,-100.397,0.000,127.200
175,349.072,-0.368,0.142,Easy,14,-98.323,0.000,127.200
176,351.072,-0.100,0.268,Medium,14,-96.023,0.000,127.200
177,353.072,0.552,0.652,Hard,14,-93.570,0.000,127.200
178,355.072,0.790,0.238,Easy,14,-91.206,0.000,127.200
179,357.072,0.492,0.297,Medium,14,-89.440,0.000,127.200
180,359.072,0.341,0.152,Easy,14,-87.674,0.000,127.200
181,361.072,-0.031,0.372,Medium,14,-85.970,0.000,127.200
182,363.072,0.645,0.676,Hard,14,-83.489,0.000,127.200
183,365.072,0.433,0.212,Easy,14,-81.484,0.000,127.200
184,367.072,-0.025,0.459,Medium,14,-80.094,0.000,127.200
185,369.072,0.059,0.085,Easy,14,-78.140,0.000,127.200
186,371.072,-0.313,0.372,Medium,14,-76.423,0.000,127.200
187,373.072,0.329,0.642,Hard,14,-73.827,0.000,127.200
188,375.072,0.514,0.185,Easy,14,-71.431,0.000,127.200
189,377.072,-0.081,0.595,Medium,14,-70.217,0.000,127.200
190,379.072,0.120,0.202,Easy,14,-67.876,0.000,127.200
191,381.072,-0.443,0.564,Medium,14,-66.460,0.000,127.200
192,383.072,0.322,0.765,Hard,14,-63.730,0.000,127.200
193,385.072,0.162,0.160,Easy,15,-61.889,0.000,127.200
194,387.072,-0.350,0.512,Medium,15,-60.474,0.000,127.200
195,389.072,-0.598,0.248,Easy,15,-58.674,0.000,127.200
196,391.072,-0.301,0.298,Medium,15,-56.368,0.000,127.200
197,393.072,0.633,0.934,Hard,15,-53.540,0.000,127.200
198,395.072,0.570,0.064,Easy,15,-51.630,0.000,127.200
199,397.072,0.058,0.512,Medium,15,-49.985,0.000,127.200
200,399.072,0.195,0.137,Easy,15,-47.953,0.000,127.200
201,401.072,0.623,0.428,Medium,15,-45.550,0.000,127.200
202,403.072,-0.029,0.652,Hard,15,-43.956,0.000,127.200
203,405.072,-0.232,0.204,Easy,15,-42.279,0.000,127.200
204,407.072,-0.572,0.340,Medium,15,-40.748,0.000,127.200
205,409.072,-0.799,0.227,Easy,15,-38.863,0.000,127.200
206,411.072,-0.274,0.526,Medium,15,-36.479,0.000,127.200
207,413.072,0.658,0.932,Hard,15,-33.448,0.000,127.200
208,415.072,0.568,0.091,Easy,15,-31.381,0.000,127.200
209,417.072,0.197,0.370,Medium,15,-29.819,0.000,127.200
210,419.072,0.332,0.134,Easy,15,-27.663,0.000,127.200
211,421.072,0.060,0.272,Medium,15,-25.898,0.000,127.200
212,423.072,-0.547,0.607,Hard,16,-24.732,0.000,127.200
213,425.072,-0.602,0.056,Easy,16,-22.523,0.000,127.200
214,427.072,-0.220,0.382,Medium,16,-20.363,0.000,127.200
215,429.072,-0.100,0.120,Easy,16,-18.279,0.000,127.200
216,431.072,0.242,0.342,Medium,16,-15.816,0.000,127.200
217,433.072,-0.545,0.786,Hard,16,-14.510,0.000,127.200
218,435.072,-0.376,0.168,Easy,16,-12.317,0.000,127.200
219,437.072,0.074,0.450,Medium,16,-10.009,0.000,127.200
220,439.072,0.177,0.104,Easy,16,-7.991,0.000,127.200
221,441.072,0.649,0.472,Medium,16,-5.419,0.000,127.200
222,443.072,0.048,0.601,Hard,16,-3.907,0.000,127.200
223,445.072,-0.021,0.069,Easy,16,-2.142,0.000,127.200
224,447.072,-0.273,0.252,Medium,16,-0.229,0.000,127.200
225,449.072,-0.175,0.099,Easy,16,1.746,0.000,127.148
226,450.617,-0.638,0.463,Medium,17,1.862,0.000,128.763
227,452.617,0.091,0.729,Hard,17,2.591,0.000,130.550
228,454.617,0.100,0.009,Easy,17,2.600,0.000,132.601
229,456.617,0.522,0.422,Medium,17,3.022,0.000,134.655
230,458.617,0.492,0.030,Easy,17,2.992,0.000,136.586
231,460.617,0.237,0.255,Medium,17,2.737,0.000,138.618
232,462.617,-0.493,0.730,Hard,17,2.007,0.000,140.588
233,464.617,-0.507,0.014,Easy,17,1.993,0.000,142.620
234,466.617,-0.225,0.282,Medium,17,2.275,0.000,144.631
235,468.617,-0.133,0.093,Easy,17,2.367,0.000,146.700
236,470.617,0.297,0.430,Medium,17,2.797,0.000,148.625
237,472.617,-0.539,0.836,Hard,17,1.961,0.000,150.622
238,474.617,-0.672,0.133,Easy,17,1.828,0.000,152.722
239,476.617,-0.384,0.288,Medium,17,2.116,0.000,154.544
240,478.617,-0.584,0.200,Easy,17,1.916,0.000,156.507
241,480.617,-0.094,0.490,Medium,18,2.406,0.000,158.606
242,482.617,0.670,0.764,Hard,18,3.170,0.000,160.625
243,484.617,0.693,0.023,Easy,18,3.193,0.000,162.717
244,486.617,0.219,0.474,Medium,18,2.719,0.000,164.769
245,488.617,0.073,0.146,Easy,18,2.573,0.000,166.593
246,490.617,-0.305,0.378,Medium,18,2.195,0.000,168.666
247,492.617,0.485,0.790,Hard,18,2.985,0.000,170.725
248,494.617,0.264,0.220,Easy,18,2.764,0.000,172.628
249,496.617,0.576,0.312,Medium,18,3.076,0.000,174.546
250,498.617,0.435,0.141,Easy,18,2.935,0.000,176.690
251,500.617,-0.121,0.557,Medium,18,2.379,0.000,178.631
252,502.617,0.736,0.858,Hard,18,3.236,0.000,180.655
253,504.617,0.549,0.187,Easy,18,3.049,0.000,182.540
254,506.617,0.178,0.371,Medium,18,2.678,0.000,184.549
255,508.617,0.124,0.054,Easy,18,2.624,0.000,186.647
256,510.617,0.692,0.568,Medium,18,3.192,0.000,188.580
257,512.617,-0.740,1.432,Hard,18,1.760,0.000,190.779
258,514.617,-0.717,0.023,Easy,18,1.783,0.000,192.606
259,516.617,-0.445,0.271,Medium,18,2.055,0.000,194.585
260,518.617,-0.394,0.051,Easy,19,2.106,0.000,196.674
261,520.617,-0.783,0.388,Medium,19,1.717,0.000,198.623
262,522.617,0.516,1.299,Hard,19,3.016,0.000,200.612
263,524.617,0.443,0.073,Easy,19,2.943,0.000,202.698
264,526.617,0.795,0.352,Medium,19,3.295,0.000,204.790
265,528.617,0.595,0.200,Easy,19,3.095,0.000,206.611
266,530.617,0.337,0.258,Medium,19,2.837,0.000,208.525
267,532.617,-0.626,0.963,Hard,19,1.874,0.000,210.574
268,534.617,-0.467,0.159,Easy,19,2.033,0.000,212.712
269,536.617,0.023,0.489,Medium,19,2.523,0.000,214.656
270,538.617,-0.106,0.129,Easy,19,2.394,0.000,216.641
